playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,ASNextYear
coggiri01,1973,110,389.0,54.0,124.0,19.0,9.0,7.0,41.0,17.0,28.0,24.0,2.0,0.0
colbena01,1973,145,529.0,73.0,143.0,25.0,2.0,22.0,80.0,9.0,54.0,146.0,9.0,0.0
colucbo01,1973,124,438.0,65.0,98.0,21.0,8.0,15.0,58.0,13.0,54.0,92.0,2.0,0.0
conceda01,1973,89,328.0,39.0,94.0,18.0,3.0,8.0,46.0,22.0,21.0,55.0,3.0,0.0
crawfwi01,1973,145,457.0,75.0,135.0,26.0,2.0,14.0,66.0,12.0,78.0,91.0,12.0,0.0
cruzjo01,1973,132,406.0,51.0,92.0,22.0,5.0,10.0,57.0,10.0,51.0,66.0,4.0,0.0
darwibo01,1973,145,560.0,69.0,141.0,20.0,2.0,18.0,90.0,5.0,46.0,137.0,5.0,0.0
davisto02,1973,137,552.0,53.0,169.0,20.0,3.0,7.0,89.0,11.0,30.0,56.0,3.0,0.0
daviswi02,1973,152,599.0,82.0,171.0,29.0,9.0,16.0,77.0,17.0,29.0,62.0,12.0,0.0
daybo01,1973,101,207.0,36.0,57.0,7.0,0.0,4.0,28.0,0.0,21.0,28.0,1.0,0.0
doylede01,1973,116,370.0,45.0,101.0,9.0,3.0,3.0,26.0,1.0,31.0,32.0,8.0,0.0
driesda01,1973,102,366.0,49.0,110.0,15.0,2.0,4.0,47.0,8.0,24.0,37.0,4.0,0.0
duffyfr01,1973,116,361.0,34.0,95.0,16.0,4.0,8.0,50.0,6.0,25.0,41.0,0.0,0.0
duncada01,1973,95,344.0,43.0,80.0,11.0,1.0,17.0,43.0,3.0,35.0,86.0,1.0,0.0
edwarjo01,1973,79,250.0,24.0,61.0,10.0,2.0,5.0,27.0,1.0,19.0,23.0,7.0,0.0
ellisjo01,1973,127,437.0,59.0,118.0,12.0,2.0,14.0,68.0,0.0,46.0,57.0,2.0,0.0
epstemi01,1973,91,312.0,30.0,67.0,8.0,2.0,8.0,32.0,0.0,34.0,54.0,2.0,0.0
evansda01,1973,161,595.0,114.0,167.0,25.0,8.0,41.0,104.0,6.0,124.0,104.0,8.0,0.0
evansdw01,1973,119,282.0,46.0,63.0,13.0,1.0,10.0,32.0,5.0,40.0,52.0,2.0,0.0
fairlro01,1973,142,413.0,70.0,123.0,13.0,1.0,17.0,49.0,2.0,86.0,33.0,11.0,0.0
fergujo01,1973,136,487.0,84.0,128.0,26.0,0.0,25.0,88.0,1.0,87.0,81.0,9.0,0.0
fiskca01,1973,135,508.0,65.0,125.0,21.0,0.0,26.0,71.0,7.0,37.0,99.0,2.0,0.0
foliti01,1973,126,458.0,37.0,110.0,11.0,0.0,2.0,36.0,6.0,28.0,40.0,11.0,0.0
fossera01,1973,143,492.0,37.0,126.0,23.0,2.0,7.0,52.0,2.0,25.0,62.0,4.0,0.0
freehbi01,1973,110,380.0,33.0,89.0,10.0,1.0,6.0,29.0,0.0,40.0,30.0,2.0,0.0
friaspe01,1973,100,225.0,19.0,52.0,10.0,1.0,0.0,22.0,1.0,10.0,24.0,2.0,0.0
fuentti01,1973,160,656.0,78.0,182.0,25.0,5.0,6.0,63.0,12.0,45.0,62.0,0.0,0.0
gallaal01,1973,110,311.0,16.0,85.0,6.0,1.0,0.0,26.0,1.0,35.0,31.0,3.0,0.0
gamblos01,1973,113,390.0,56.0,104.0,11.0,3.0,20.0,44.0,3.0,34.0,37.0,1.0,0.0
garcipe01,1973,160,580.0,67.0,142.0,32.0,5.0,15.0,54.0,11.0,40.0,119.0,4.0,0.0
garrewa01,1973,140,504.0,76.0,129.0,20.0,3.0,16.0,58.0,6.0,72.0,74.0,4.0,0.0
garrra01,1973,148,668.0,94.0,200.0,32.0,6.0,11.0,55.0,35.0,22.0,64.0,5.0,0.0
garvest01,1973,114,349.0,37.0,106.0,17.0,3.0,8.0,50.0,0.0,11.0,42.0,4.0,1.0
gastoci01,1973,133,476.0,51.0,119.0,18.0,4.0,16.0,57.0,0.0,20.0,88.0,3.0,0.0
geronce01,1973,139,324.0,35.0,68.0,14.0,3.0,4.0,33.0,5.0,23.0,74.0,3.0,0.0
goodsed01,1973,102,384.0,37.0,116.0,20.0,1.0,12.0,53.0,0.0,15.0,44.0,4.0,0.0
greendi01,1973,133,332.0,33.0,87.0,17.0,0.0,3.0,42.0,0.0,21.0,63.0,0.0,0.0
grichbo01,1973,162,581.0,82.0,146.0,29.0,7.0,12.0,50.0,17.0,107.0,91.0,3.0,0.0
griffdo01,1973,113,396.0,43.0,101.0,14.0,5.0,1.0,33.0,7.0,21.0,42.0,0.0,0.0
groteje01,1973,84,285.0,17.0,73.0,10.0,2.0,1.0,32.0,0.0,13.0,23.0,1.0,0.0
grubbjo01,1973,113,389.0,52.0,121.0,22.0,3.0,8.0,37.0,9.0,37.0,50.0,2.0,0.0
guerrma01,1973,66,219.0,19.0,51.0,5.0,2.0,0.0,11.0,2.0,10.0,21.0,0.0,0.0
hahndo01,1973,93,262.0,22.0,60.0,10.0,0.0,2.0,21.0,2.0,22.0,43.0,2.0,0.0
hairsje01,1973,60,210.0,25.0,57.0,11.0,1.0,0.0,23.0,0.0,33.0,30.0,0.0,0.0
harpeto01,1973,147,566.0,92.0,159.0,23.0,3.0,17.0,71.0,54.0,61.0,93.0,2.0,0.0
harrato01,1973,118,461.0,64.0,120.0,16.0,1.0,10.0,50.0,10.0,46.0,49.0,2.0,0.0
harrebu01,1973,106,356.0,35.0,92.0,12.0,3.0,0.0,20.0,5.0,48.0,49.0,4.0,0.0
harrivi01,1973,152,555.0,71.0,138.0,14.0,7.0,8.0,44.0,13.0,55.0,81.0,1.0,0.0
hartji01,1973,114,339.0,29.0,86.0,13.0,2.0,13.0,52.0,0.0,36.0,45.0,7.0,0.0
healyfr02,1973,95,279.0,25.0,77.0,15.0,2.0,6.0,34.0,3.0,31.0,56.0,0.0,0.0
hebneri01,1973,144,509.0,73.0,138.0,28.0,1.0,25.0,74.0,0.0,56.0,60.0,12.0,0.0
helmsto01,1973,146,543.0,44.0,156.0,28.0,2.0,4.0,61.0,1.0,32.0,21.0,12.0,0.0
hendeke01,1973,73,262.0,32.0,68.0,13.0,0.0,6.0,32.0,3.0,27.0,49.0,2.0,0.0
hendrge01,1973,113,440.0,64.0,118.0,18.0,0.0,21.0,61.0,7.0,25.0,71.0,1.0,0.0
hernaen01,1973,70,247.0,26.0,55.0,2.0,1.0,0.0,9.0,15.0,17.0,14.0,0.0,0.0
herrmed01,1973,119,379.0,42.0,85.0,17.0,1.0,10.0,39.0,2.0,31.0,55.0,3.0,0.0
hickmji02,1973,92,201.0,27.0,49.0,1.0,2.0,3.0,20.0,1.0,42.0,42.0,2.0,0.0
hiltoda01,1973,70,234.0,21.0,46.0,9.0,0.0,5.0,16.0,2.0,19.0,35.0,6.0,0.0
hislela01,1973,143,545.0,88.0,148.0,25.0,6.0,15.0,64.0,11.0,64.0,128.0,2.0,0.0
holtji01,1973,132,441.0,52.0,131.0,25.0,3.0,11.0,58.0,0.0,29.0,43.0,4.0,0.0
hortowi01,1973,111,411.0,42.0,130.0,19.0,3.0,17.0,53.0,1.0,23.0,57.0,5.0,0.0
hovlest01,1973,104,232.0,29.0,59.0,8.0,1.0,2.0,24.0,6.0,33.0,34.0,2.0,0.0
howarfr01,1973,85,227.0,26.0,58.0,9.0,1.0,12.0,29.0,0.0,24.0,28.0,4.0,0.0
hundlra01,1973,124,368.0,35.0,83.0,11.0,1.0,10.0,43.0,5.0,30.0,51.0,8.0,0.0
huntro01,1973,113,401.0,61.0,124.0,14.0,0.0,0.0,18.0,10.0,52.0,19.0,3.0,0.0
huttoto01,1973,106,247.0,31.0,65.0,11.0,0.0,5.0,29.0,3.0,32.0,31.0,6.0,0.0
jacksre01,1973,151,539.0,99.0,158.0,28.0,2.0,32.0,117.0,22.0,76.0,111.0,11.0,1.0
jacksso01,1973,117,206.0,29.0,43.0,5.0,2.0,0.0,12.0,6.0,22.0,13.0,0.0,0.0
jeterjo01,1973,89,300.0,38.0,72.0,14.0,4.0,7.0,26.0,4.0,9.0,74.0,0.0,0.0
johnsal01,1973,158,624.0,62.0,179.0,26.0,3.0,8.0,68.0,10.0,32.0,82.0,5.0,0.0
johnsda02,1973,157,559.0,84.0,151.0,25.0,0.0,43.0,99.0,5.0,81.0,93.0,9.0,0.0
johnsde01,1973,131,464.0,61.0,114.0,14.0,2.0,19.0,81.0,0.0,59.0,116.0,7.0,0.0
johnsti01,1973,136,465.0,39.0,99.0,10.0,2.0,0.0,32.0,6.0,29.0,93.0,2.0,0.0
jonescl01,1973,92,339.0,48.0,88.0,13.0,0.0,11.0,48.0,1.0,28.0,51.0,6.0,0.0
jorgemi01,1973,138,413.0,49.0,95.0,16.0,2.0,9.0,47.0,16.0,64.0,49.0,4.0,0.0
jutzesk01,1973,90,278.0,18.0,62.0,6.0,0.0,0.0,18.0,0.0,19.0,37.0,5.0,0.0
kalinal01,1973,91,310.0,40.0,79.0,13.0,0.0,10.0,45.0,4.0,29.0,28.0,4.0,0.0
kellypa01,1973,144,550.0,77.0,154.0,24.0,5.0,1.0,44.0,22.0,65.0,91.0,1.0,0.0
kendafr01,1973,145,507.0,39.0,143.0,22.0,3.0,10.0,59.0,3.0,30.0,35.0,4.0,0.0
kessido01,1973,160,577.0,52.0,151.0,22.0,3.0,0.0,43.0,6.0,57.0,44.0,18.0,0.0
killeha01,1973,69,248.0,29.0,60.0,9.0,1.0,5.0,32.0,0.0,41.0,59.0,2.0,0.0
kingmda01,1973,112,305.0,54.0,62.0,10.0,1.0,24.0,55.0,8.0,41.0,122.0,3.0,0.0
kirkped01,1973,126,429.0,61.0,113.0,24.0,3.0,6.0,45.0,3.0,46.0,48.0,6.0,0.0
kraneed01,1973,100,284.0,28.0,68.0,12.0,2.0,1.0,35.0,1.0,30.0,28.0,4.0,0.0
lahoujo01,1973,96,225.0,29.0,46.0,9.0,0.0,5.0,26.0,5.0,27.0,36.0,1.0,0.0
leele02,1973,118,333.0,36.0,79.0,7.0,2.0,3.0,30.0,4.0,33.0,61.0,3.0,0.0
leoned01,1973,127,399.0,37.0,91.0,10.0,3.0,3.0,30.0,1.0,34.0,103.0,0.0,0.0
lisjo01,1973,103,253.0,37.0,62.0,11.0,1.0,9.0,25.0,0.0,28.0,66.0,1.0,0.0
lopesda01,1973,142,535.0,77.0,147.0,13.0,5.0,6.0,37.0,36.0,62.0,77.0,6.0,0.0
lowenjo01,1973,98,305.0,42.0,89.0,16.0,1.0,6.0,40.0,5.0,23.0,41.0,0.0,0.0
lummi01,1973,138,513.0,74.0,151.0,26.0,6.0,16.0,82.0,2.0,41.0,89.0,7.0,0.0
luzingr01,1973,161,610.0,76.0,174.0,26.0,4.0,29.0,97.0,3.0,51.0,135.0,9.0,0.0
maddoga01,1973,144,587.0,81.0,187.0,30.0,10.0,11.0,76.0,24.0,24.0,73.0,2.0,0.0
martite01,1973,92,263.0,34.0,67.0,11.0,0.0,1.0,14.0,3.0,13.0,38.0,2.0,0.0
masonji01,1973,93,238.0,23.0,49.0,7.0,2.0,3.0,19.0,0.0,23.0,48.0,0.0,0.0
matthga01,1973,148,540.0,74.0,162.0,22.0,10.0,12.0,58.0,17.0,58.0,83.0,7.0,0.0
